,Value
0,0.6
1,0.6
2,0.6
3,0.61
4,0.6
5,0.62
6,0.65
7,0.65
8,0.66
9,0.67
10,0.66
11,0.65
12,0.64
13,0.65
14,0.63
15,0.65
16,0.64
17,0.64
18,0.64
19,0.65
20,0.65
21,0.65
22,0.64
23,0.64
24,0.6
25,0.63
26,0.63
27,0.66
28,0.64
29,0.64
30,0.64
31,0.65
32,0.63
33,0.6
34,0.6
35,0.6
36,0.6
37,0.62
38,0.6
39,0.62
40,0.6
41,0.6
42,0.6
43,0.6
44,0.6
45,0.6
46,0.6
47,0.6
48,0.61
49,0.65
50,0.63
51,0.64
52,0.64
53,0.63
54,0.63
55,0.6
56,0.6
57,0.62
58,0.65
59,0.64
60,0.64
61,0.64
62,0.64
63,0.64
64,0.64
65,0.64
66,0.64
67,0.65
68,0.67
69,0.65
70,0.65
71,0.64
72,0.66
73,0.67
74,0.67
75,0.67
76,0.67
77,0.64
78,0.63
79,0.8100000000000002
80,0.8600000000000002
81,0.65
82,0.66
83,0.65
84,0.7800000000000001
85,0.64
86,0.64
87,0.64
88,0.63
89,0.63
90,0.62
91,0.62
92,0.62
93,0.66
94,0.62
95,0.6
96,0.6
97,0.6
98,0.6
99,0.62
100,0.67
101,0.6
102,0.6
103,0.6
104,0.6
105,0.6
106,0.6
107,0.6
108,0.6
109,0.6
110,0.6
111,0.6
112,0.6
113,0.6
114,0.6
115,0.6
116,0.6
117,0.6
118,0.6
119,0.6
120,0.6
121,0.6
122,0.6
123,0.62
124,0.63
125,0.63
126,0.63
127,0.63
128,0.62
129,0.65
130,0.63
131,0.65
132,0.64
133,0.63
134,0.65
135,0.65
136,0.64
137,0.63
138,0.64
139,0.65
140,0.65
141,0.64
142,0.65
143,0.64
144,0.66
145,0.67
146,0.68
147,0.68
148,0.6900000000000001
149,0.68
150,0.68
151,0.6900000000000001
152,0.6900000000000001
153,0.6900000000000001
154,0.6900000000000001
155,0.7000000000000001
156,0.7100000000000001
157,0.7000000000000001
158,0.7100000000000001
159,0.7100000000000001
160,0.7100000000000001
161,0.7100000000000001
162,0.7300000000000001
163,0.7200000000000001
164,0.7200000000000001
165,0.7200000000000001
166,0.7200000000000001
167,0.7200000000000001
168,0.7500000000000001
169,0.7500000000000001
170,0.7500000000000001
171,0.7600000000000001
172,0.7600000000000001
173,0.7700000000000001
174,0.7600000000000001
175,0.7600000000000001
176,0.7700000000000001
177,0.7700000000000001
178,0.7700000000000001
179,0.7700000000000001
180,0.7700000000000001
181,0.7700000000000001
182,0.7600000000000001
183,0.7700000000000001
184,0.7700000000000001
185,0.7700000000000001
186,0.7700000000000001
187,0.7700000000000001
188,0.7700000000000001
189,0.7700000000000001
190,0.7600000000000001
191,0.7700000000000001
192,0.7700000000000001
193,0.7700000000000001
194,0.7700000000000001
195,0.7600000000000001
196,0.7600000000000001
197,0.7600000000000001
198,0.7600000000000001
199,0.7600000000000001
200,0.7600000000000001
201,0.7600000000000001
202,0.7600000000000001
203,0.7500000000000001
204,0.7600000000000001
205,0.7600000000000001
206,0.7600000000000001
207,0.7600000000000001
208,0.7600000000000001
209,0.7600000000000001
210,0.7700000000000001
211,0.7700000000000001
212,0.7800000000000001
213,0.7800000000000001
214,0.7900000000000001
215,0.7700000000000001
216,0.7600000000000001
217,0.7600000000000001
218,0.7700000000000001
219,0.7700000000000001
220,0.7700000000000001
221,0.7700000000000001
222,0.7700000000000001
223,0.7700000000000001
224,0.7700000000000001
225,0.7600000000000001
226,0.7600000000000001
227,0.7600000000000001
228,0.7700000000000001
229,0.7700000000000001
230,0.7700000000000001
231,0.7700000000000001
232,0.7700000000000001
233,0.7700000000000001
234,0.7900000000000001
235,0.7900000000000001
236,0.7900000000000001
237,0.7900000000000001
238,0.7800000000000001
239,0.7900000000000001
240,0.7800000000000001
241,0.7900000000000001
242,0.7900000000000001
243,0.8000000000000002
244,0.7900000000000001
245,0.7900000000000001
246,0.7900000000000001
247,0.7900000000000001
248,0.8000000000000002
249,0.8100000000000002
250,0.8000000000000002
251,0.8100000000000002
252,0.8200000000000002
253,0.8000000000000002
254,0.8100000000000002
255,0.8100000000000002
256,0.8100000000000002
257,0.8000000000000002
258,0.8100000000000002
259,0.8100000000000002
260,0.8200000000000002
261,0.8200000000000002
262,0.8200000000000002
263,0.8200000000000002
264,0.8000000000000002
265,0.8100000000000002
266,0.8000000000000002
267,0.8200000000000002
268,0.8200000000000002
269,0.8200000000000002
270,0.8100000000000002
271,0.8100000000000002
272,0.8200000000000002
273,0.8200000000000002
274,0.8100000000000002
275,0.8000000000000002
276,0.8000000000000002
277,0.7900000000000001
278,0.7800000000000001
279,0.7800000000000001
280,0.8000000000000002
281,0.8000000000000002
282,0.8000000000000002
283,0.8000000000000002
284,0.7900000000000001
285,0.7800000000000001
286,0.7800000000000001
287,0.8000000000000002
288,0.8000000000000002
289,0.8000000000000002
290,0.8100000000000002
291,0.8200000000000002
292,0.8200000000000002
293,0.8000000000000002
294,0.8200000000000002
295,0.8200000000000002
296,0.8200000000000002
297,0.8200000000000002
298,0.8300000000000002
299,0.8200000000000002
300,0.8300000000000002
301,0.8400000000000002
302,0.8200000000000002
303,0.8200000000000002
304,0.8100000000000002
305,0.8000000000000002
306,0.8100000000000002
307,0.8100000000000002
308,0.8100000000000002
309,0.8600000000000002
310,0.8600000000000002
311,0.8200000000000002
312,0.8200000000000002
313,0.8200000000000002
314,0.8200000000000002
315,0.8200000000000002
316,0.8800000000000002
317,0.8800000000000002
318,0.8500000000000002
319,0.8600000000000002
320,0.8400000000000002
321,0.8300000000000002
322,0.8400000000000002
323,0.8300000000000002
324,0.8300000000000002
325,0.8200000000000002
326,0.8200000000000002
327,0.7800000000000001
328,0.8000000000000002
329,0.7900000000000001
330,0.8000000000000002
331,0.7900000000000001
332,0.8300000000000002
333,0.8400000000000002
334,0.8400000000000002
335,0.9000000000000002
336,0.9000000000000002
337,0.9000000000000002
338,0.9000000000000002
339,0.9400000000000003
340,0.9400000000000003
341,0.9400000000000003
342,0.9600000000000003
343,0.9500000000000003
344,0.9400000000000003
345,0.9500000000000003
346,0.9500000000000003
347,0.9400000000000003
348,0.9200000000000003
349,0.9200000000000003
350,0.9300000000000003
351,0.9300000000000003
352,0.8900000000000002
353,0.8900000000000002
354,0.9000000000000002
355,0.8900000000000002
356,0.8600000000000002
357,0.8900000000000002
358,0.8500000000000002
359,0.8600000000000002
360,0.8500000000000002
361,0.8800000000000002
362,0.8800000000000002
363,0.8800000000000002
364,0.8100000000000002
365,0.65
366,0.65
367,0.8100000000000002
368,0.8200000000000002
369,0.7800000000000001
370,0.7400000000000001
371,0.7100000000000001
372,0.6900000000000001
373,0.7200000000000001
374,0.65
375,0.6
376,0.6
377,0.6
378,0.6
379,0.6
380,0.6
381,0.65
382,0.6
383,0.9200000000000003
384,0.9100000000000003
385,0.8700000000000002
386,0.8700000000000002
387,0.8800000000000002
388,0.8500000000000002
389,0.8200000000000002
390,0.7500000000000001
391,0.7400000000000001
392,0.7400000000000001
393,0.7400000000000001
394,0.7300000000000001
395,0.7300000000000001
396,0.7500000000000001
397,0.7200000000000001
398,0.7300000000000001
399,0.7200000000000001
400,0.7200000000000001
401,0.7000000000000001
402,0.7100000000000001
403,0.7200000000000001
404,0.7400000000000001
405,0.7500000000000001
406,0.7500000000000001
407,0.7300000000000001
408,0.7500000000000001
409,0.8100000000000002
410,0.8100000000000002
411,0.7800000000000001
412,0.7600000000000001
413,0.7700000000000001
414,0.7200000000000001
415,0.7300000000000001
416,0.7500000000000001
417,0.7900000000000001
418,0.7600000000000001
419,0.7200000000000001
420,0.7500000000000001
421,0.7600000000000001
422,0.7500000000000001
423,0.7500000000000001
424,0.7500000000000001
425,0.7300000000000001
426,0.7300000000000001
427,0.7200000000000001
428,0.7400000000000001
429,0.7000000000000001
430,0.68
431,0.68
432,0.7300000000000001
433,0.7300000000000001
434,0.7500000000000001
435,0.7400000000000001
436,0.7700000000000001
437,0.7600000000000001
438,0.7700000000000001
439,0.7700000000000001
440,0.7400000000000001
441,0.7300000000000001
442,0.8000000000000002
443,0.7800000000000001
444,0.7700000000000001
445,0.8100000000000002
446,0.8400000000000002
447,0.7200000000000001
448,0.67
449,0.7600000000000001
450,0.7400000000000001
451,0.7500000000000001
452,0.7900000000000001
453,0.7200000000000001
454,0.7000000000000001
455,0.67
456,0.65
457,0.64
458,0.64
459,0.61
460,0.6
461,0.6
462,0.6
463,0.6
464,0.6
465,0.6
466,0.6
467,0.6
468,0.6
469,0.63
470,0.68
471,0.6900000000000001
472,0.67
473,0.6900000000000001
474,0.6900000000000001
475,0.7100000000000001
476,0.67
477,0.64
478,0.65
479,0.7100000000000001
480,0.7400000000000001
481,0.7400000000000001
482,0.7300000000000001
483,0.67
484,0.67
485,0.68
486,0.65
487,0.67
488,0.66
489,0.65
490,0.64
491,0.63
492,0.63
493,0.61
494,0.62
495,0.63
496,0.63
497,0.64
498,0.65
499,0.64
500,0.65
501,0.62
502,0.63
503,0.64
504,0.67
505,0.67
506,0.6900000000000001
507,0.7100000000000001
508,0.7000000000000001
509,0.67
510,0.7400000000000001
511,0.7200000000000001
512,0.8300000000000002
513,0.8600000000000002
514,0.8400000000000002
515,0.8600000000000002
516,0.8100000000000002
517,0.7700000000000001
518,0.7500000000000001
519,0.7400000000000001
520,0.8200000000000002
521,0.8400000000000002
522,0.7600000000000001
523,0.64
524,0.62
525,0.63
526,0.6
527,0.6
528,0.6
529,0.6
530,0.6
531,0.6
532,0.6
533,0.6
534,0.6
535,0.6
536,0.6
537,0.6
538,0.6
539,0.6
540,0.6
541,0.6
542,0.6
543,0.6
544,0.6
545,0.6
546,0.6
547,0.6
548,0.6
549,0.6
550,0.6
551,0.6
552,0.6
553,0.6
554,0.6
555,0.6
556,0.6
557,0.6
558,0.6
559,0.6
560,0.6
561,0.6
562,0.6
563,0.6
564,0.6
565,0.6
566,0.61
567,0.6
568,0.6
569,0.6
570,0.6
571,0.6
572,0.6
573,0.62
574,0.65
575,0.7800000000000001
576,0.65
577,0.64
578,0.61
579,0.61
580,0.62
581,0.7300000000000001
582,0.6900000000000001
583,0.7200000000000001
584,0.6900000000000001
585,0.7000000000000001
586,0.7400000000000001
587,0.7000000000000001
588,0.7200000000000001
589,0.7200000000000001
590,0.68
591,0.6900000000000001
592,0.68
593,0.6
594,0.7800000000000001
595,0.8000000000000002
596,0.9200000000000003
597,0.7700000000000001
598,0.6
599,0.6
600,0.6
601,0.6
602,0.6
603,0.6
604,0.6
605,0.6
606,0.6
607,0.6
608,0.6
609,0.6
610,0.6
611,0.6
612,0.6
613,0.6
614,0.6
615,0.6
616,0.6
617,0.6
618,0.6
619,0.6
620,0.6
621,0.6
622,0.6
623,0.6
624,0.6
625,0.6
626,0.6
627,0.6
628,0.6
629,0.6
630,0.6
631,0.6
632,0.6
633,0.6
634,0.6
635,0.6
636,0.6
637,0.6
638,0.6
639,0.6
640,0.6
641,0.6
642,0.6
643,0.6
644,0.6
645,0.6
646,0.6
647,0.6
648,0.6
649,0.6
650,0.6
651,0.6
652,0.6
653,0.6
654,0.6
655,0.6
656,0.6
657,0.6
658,0.6
659,0.6
660,0.6
661,0.6
662,0.6
663,0.6
664,0.6
665,0.6
666,0.6
667,0.6
668,0.6
669,0.6
670,0.6
671,0.6
672,0.6
673,0.6
674,0.6
675,0.6
676,0.6
677,0.6
678,0.6
679,0.6
680,0.6
681,0.6
682,0.6
683,0.6
684,0.62
685,0.62
686,0.63
687,0.63
688,0.64
689,0.66
690,0.67
691,0.66
692,0.67
693,0.68
694,0.68
695,0.6900000000000001
696,0.6900000000000001
697,0.6900000000000001
698,0.7100000000000001
699,0.7000000000000001
700,0.6900000000000001
701,0.6900000000000001
702,0.7000000000000001
703,0.7000000000000001
704,0.7100000000000001
705,0.7100000000000001
706,0.7100000000000001
707,0.7200000000000001
708,0.7300000000000001
709,0.7200000000000001
710,0.7200000000000001
711,0.7200000000000001
712,0.7500000000000001
713,0.7300000000000001
714,0.7300000000000001
715,0.7400000000000001
716,0.7300000000000001
717,0.7300000000000001
718,0.7200000000000001
719,0.7500000000000001
720,0.7500000000000001
721,0.7500000000000001
722,0.7700000000000001
723,0.7600000000000001
724,0.7700000000000001
725,0.7700000000000001
726,0.7700000000000001
727,0.7800000000000001
728,0.7900000000000001
729,0.8600000000000002
730,0.8900000000000002
731,0.9400000000000003
732,0.9200000000000003
733,0.9100000000000003
734,0.9100000000000003
735,0.9400000000000003
736,0.9200000000000003
737,0.9200000000000003
738,0.8900000000000002
739,0.8800000000000002
740,0.8700000000000002
741,0.8500000000000002
742,0.8600000000000002
743,0.8700000000000002
744,0.8500000000000002
745,0.8700000000000002
746,0.9000000000000002
747,0.9000000000000002
748,0.9000000000000002
749,0.8900000000000002
750,0.8700000000000002
751,0.8800000000000002
752,0.8700000000000002
753,0.8900000000000002
754,0.8700000000000002
755,0.8600000000000002
756,0.8300000000000002
757,0.8300000000000002
758,0.8800000000000002
759,0.8700000000000002
760,0.8900000000000002
761,0.9000000000000002
762,0.9100000000000003
763,0.9100000000000003
764,0.9400000000000003
765,0.9400000000000003
766,0.8900000000000002
767,0.9300000000000003
768,1.0
769,1.0
770,1.0
771,1.0
772,1.0
773,1.0
774,1.0
775,1.0
776,1.0
777,1.0
778,1.0
779,1.0
780,1.0
781,1.0
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,1.0
788,1.0
789,1.0
790,1.0
791,1.0
792,1.0
793,1.0
794,1.0
795,1.0
796,1.0
797,1.0
798,1.0
799,0.9400000000000003
800,0.8800000000000002
801,0.8900000000000002
802,0.8100000000000002
803,0.8100000000000002
804,0.8100000000000002
805,0.7900000000000001
806,0.7900000000000001
807,0.7900000000000001
808,0.8200000000000002
809,0.8000000000000002
810,0.7700000000000001
811,0.7600000000000001
812,0.7600000000000001
813,0.7600000000000001
814,0.7400000000000001
815,0.7400000000000001
816,0.7500000000000001
817,0.7500000000000001
818,0.7500000000000001
819,0.7600000000000001
820,0.7500000000000001
821,0.7500000000000001
822,0.7500000000000001
823,0.7600000000000001
824,0.7600000000000001
825,0.7700000000000001
826,0.7700000000000001
827,0.7700000000000001
828,0.7700000000000001
829,0.7800000000000001
830,0.7800000000000001
831,0.7700000000000001
832,0.7700000000000001
833,0.7700000000000001
834,0.7700000000000001
835,0.7900000000000001
836,0.7900000000000001
837,0.7800000000000001
838,0.7900000000000001
839,0.8000000000000002
840,0.8000000000000002
841,0.8000000000000002
842,0.8000000000000002
843,0.8000000000000002
844,0.8100000000000002
845,0.8100000000000002
846,0.8100000000000002
847,0.8200000000000002
848,0.8100000000000002
849,0.8100000000000002
850,0.8100000000000002
851,0.8100000000000002
852,0.8100000000000002
853,0.8100000000000002
854,0.8100000000000002
855,0.8100000000000002
856,0.8100000000000002
857,0.8000000000000002
858,0.8000000000000002
859,0.8000000000000002
860,0.7900000000000001
861,0.7900000000000001
862,0.8000000000000002
863,0.7900000000000001
864,0.7900000000000001
865,0.7900000000000001
866,0.8000000000000002
867,0.7800000000000001
868,0.7800000000000001
869,0.7800000000000001
870,0.7900000000000001
871,0.7800000000000001
872,0.7900000000000001
873,0.7800000000000001
874,0.7900000000000001
875,0.8000000000000002
876,0.7700000000000001
877,0.7700000000000001
878,0.7800000000000001
879,0.8400000000000002
880,0.8400000000000002
881,0.8300000000000002
882,0.9100000000000003
883,0.9000000000000002
884,0.9300000000000003
885,0.9900000000000003
886,0.9500000000000003
887,1.0
888,1.0
889,1.0
890,0.9000000000000002
891,0.8900000000000002
892,0.9100000000000003
893,0.9100000000000003
894,1.0
895,0.9500000000000003
896,0.9200000000000003
897,0.9300000000000003
898,0.9300000000000003
899,0.9300000000000003
900,0.9500000000000003
901,0.9300000000000003
902,0.9200000000000003
903,0.9300000000000003
904,0.9100000000000003
905,0.9100000000000003
906,0.9100000000000003
907,0.9000000000000002
908,0.9200000000000003
909,0.9000000000000002
910,0.9100000000000003
911,0.7300000000000001
912,0.7300000000000001
913,0.7200000000000001
914,0.8200000000000002
915,0.8400000000000002
916,0.8300000000000002
917,0.8500000000000002
918,0.8300000000000002
919,0.8400000000000002
920,0.68
921,0.6900000000000001
922,0.65
923,0.64
924,0.62
925,0.66
926,0.66
927,0.66
928,0.66
929,0.63
930,0.63
931,0.63
932,0.64
933,0.63
934,0.63
935,0.63
936,0.62
937,0.62
938,0.62
939,0.62
940,0.62
941,0.62
942,0.61
943,0.61
944,0.62
945,0.61
946,0.61
947,0.61
948,0.6
949,0.6
950,0.61
951,0.6
952,0.6
953,0.6
954,0.6
955,0.6
956,0.6
957,0.6
958,0.6
959,0.6
960,0.6
961,0.6
962,0.6
963,0.6
964,0.63
965,0.63
966,0.63
967,0.64
968,0.6
969,0.6
970,0.6
971,0.6
972,0.6
973,0.6
974,0.6
975,0.6
976,0.6
977,0.6
978,0.6
979,0.6
980,0.6
981,0.6
982,0.6
983,0.6
984,0.6
985,0.6
986,0.6
987,0.6
988,0.6
989,0.6
990,0.6
991,0.6
992,0.6
993,0.6
994,0.62
995,0.6
996,0.64
997,0.6
998,0.6
999,0.6
1000,0.6
1001,0.6
1002,0.6
1003,0.6
1004,0.62
1005,0.63
1006,0.65
1007,0.64
1008,0.66
1009,0.66
1010,0.65
1011,0.66
1012,0.67
1013,0.67
1014,0.67
1015,0.67
1016,0.67
1017,0.67
1018,0.66
1019,1.0
1020,0.66
1021,0.68
1022,0.66
1023,0.66
1024,0.68
1025,0.7000000000000001
1026,0.6900000000000001
1027,0.6900000000000001
1028,0.67
1029,0.66
1030,0.66
1031,0.65
1032,0.64
1033,0.65
1034,0.65
1035,0.66
1036,0.65
1037,0.66
1038,0.67
1039,0.67
1040,0.66
1041,0.66
1042,0.66
1043,0.66
1044,0.66
1045,0.66
1046,0.67
1047,0.67
1048,0.67
1049,0.67
1050,0.67
1051,0.67
1052,0.67
1053,0.68
1054,0.67
1055,0.68
1056,0.67
1057,0.68
1058,0.68
1059,0.68
1060,0.67
1061,0.67
1062,0.6900000000000001
1063,0.68
1064,0.68
1065,0.6900000000000001
1066,0.6900000000000001
1067,0.68
1068,0.68
1069,0.66
1070,0.65
1071,0.63
1072,0.64
1073,0.66
1074,0.66
1075,0.65
1076,0.63
1077,0.63
1078,0.62
1079,0.63
1080,0.64
1081,0.64
1082,0.64
1083,0.63
1084,0.62
1085,0.64
1086,0.64
1087,0.63
1088,0.62
1089,0.62
1090,0.64
1091,0.65
1092,0.64
1093,0.64
1094,0.64
1095,0.65
1096,0.65
1097,0.65
1098,0.65
1099,0.65
1100,0.65
1101,0.65
1102,0.65
1103,0.65
1104,0.65
1105,0.65
1106,0.66
1107,0.66
1108,0.64
1109,0.64
1110,0.63
1111,0.63
1112,0.62
1113,0.62
1114,0.63
1115,0.62
1116,0.6
1117,0.61
1118,0.61
1119,0.61
1120,0.61
1121,0.61
1122,0.61
1123,0.6
1124,0.6
1125,0.6
1126,0.6
1127,0.6
1128,0.6
1129,0.6
1130,0.6
1131,0.61
1132,0.61
1133,0.6
1134,0.61
1135,0.6
1136,0.61
1137,0.6
1138,0.6
1139,0.6
1140,0.61
1141,0.63
1142,0.66
1143,0.66
1144,0.63
1145,0.64
1146,0.64
1147,0.62
1148,0.63
1149,0.61
1150,0.63
1151,0.65
1152,0.65
1153,0.65
1154,0.65
1155,0.65
1156,0.65
1157,0.6900000000000001
1158,0.68
1159,0.66
1160,0.67
1161,0.68
1162,0.66
1163,0.68
1164,0.7200000000000001
1165,0.7200000000000001
1166,0.7200000000000001
1167,0.7200000000000001
1168,0.7200000000000001
1169,0.7200000000000001
1170,0.7100000000000001
1171,0.7100000000000001
1172,0.7100000000000001
1173,0.7100000000000001
1174,0.7100000000000001
1175,0.7100000000000001
1176,0.7200000000000001
1177,0.7100000000000001
1178,0.7200000000000001
1179,0.7200000000000001
1180,0.7200000000000001
1181,0.7200000000000001
1182,0.7100000000000001
1183,0.7100000000000001
1184,0.7100000000000001
1185,0.7100000000000001
1186,0.7100000000000001
1187,0.7100000000000001
1188,0.7200000000000001
1189,0.7100000000000001
1190,0.7100000000000001
1191,0.7100000000000001
1192,0.7100000000000001
1193,0.7100000000000001
1194,0.7200000000000001
1195,0.7100000000000001
1196,0.7100000000000001
1197,0.7100000000000001
1198,0.7200000000000001
1199,0.7200000000000001
1200,0.7100000000000001
1201,0.7100000000000001
1202,0.7100000000000001
1203,0.7000000000000001
1204,0.7000000000000001
1205,0.7000000000000001
1206,0.7000000000000001
1207,0.7000000000000001
1208,0.7000000000000001
1209,0.7000000000000001
1210,0.7000000000000001
